"ROLLNUMBER","MPACCIVIC","MPACSTREETNAME","SHAPE_Length","SHAPE_Area"
"050070046000000","355","OLD GOULAIS BA RD",470.6463298906719,9048.698149996413
"050070047000000","335","OLD GOULAIS BA RD",463.9947224450181,8090.3318000532
"050070041000000","163","FOURTH LINE E",412.6543881463476,3807.534650071467
"050070043000000","179","FOURTH LINE E",457.369565036406,7906.210950227741
"030015159000000","47","PARTRIDGE CRT",114.48004639075396,742.6440499926011
"010042123000000","252","PARKLAND CRES",106.68291959595228,580.602849977437
"030015158000000","43","PARTRIDGE CRT",103.88212962705316,557.558500002237
"030015157000000","39","PARTRIDGE CRT",107.70059705733607,644.8756500074867
"030015154000000","27","PARTRIDGE CRT",98.05032168248981,556.9302499966547
"030015156000000","35","PARTRIDGE CRT",105.74868068058215,628.86704999514
"030015155000000","31","PARTRIDGE CRT",100.99785586322952,585.6097499936782
"030015153000000","23","PARTRIDGE CRT",97.56211782899375,557.8262999933295
"030015152000000","19","PARTRIDGE CRT",97.56211782899375,557.8262999933295
"060045009270000","77","PALOMINO DR",1347.7726069139549,47580.59160045105
"020026032000000","132","CUNNINGHAM RD",184.49926352065782,2151.517649982317
"030015163000000","48","PARTRIDGE CRT",108.29224724572447,673.5957999851842
"020037011000000","602","WELLINGTON ST E",100.57814168045948,531.1991999909087
"020037010000000","606","WELLINGTON ST E",100.57896411619062,531.1383499936383
"020037009000000","614","WELLINGTON ST E",100.58658436355685,531.2365499872647
"020037008000000","620","WELLINGTON ST E",100.57242236369746,530.9840000263546
"020037012000000","600","WELLINGTON ST E",100.57838754564662,531.1309999937993
"020037007000000","626","WELLINGTON ST E",100.58655123711485,531.2292000072907
"020037006000000","634","WELLINGTON ST E",100.57731390450226,531.1163000260283
"020037005000000","642","WELLINGTON ST E",100.57731389927807,531.11629994708
"020037004000000","644","WELLINGTON ST E",100.57569004792128,531.1627000373744
"020037003000000","652","WELLINGTON ST E",94.77658880943497,429.02609998891467
"060005055000000","96","GLASGOW AVE",108.34622508416399,593.4549999968987
"020037002000000","658","WELLINGTON ST E",89.61267329242953,391.94830002789456
"020037001010000","668","WELLINGTON ST E",92.63648574976551,383.1477000024497
"020037001000000","3","FAUQUIER AVE",129.6270469036961,725.3077499854974
