"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
56,,"Alagash Drive","P6A 5K6","SSM",46.46773222,-84.47571178,693804.8200000003,5149114.01
59,,"Alagash Drive","P6A 5K6","SSM",46.46783716,-84.47672708,693726.5,5149123.18
64,,"Alagash Drive","P6A 5K6","SSM",46.46804673,-84.47551045,693819.1600000001,5149149.449999999
104,,"Alagash Drive","P6A 5K6","SSM",46.46885203,-84.47614519,693767.5700000003,5149237.369999999
112,,"Alagash Drive","P6A 5K6","SSM",46.46872632,-84.47565707,693803.2699999996,5149222.220000001
116,,"Alagash Drive","P6A 5K6","SSM",46.46878046,-84.4754515,693819.8100000005,5149229.0600000005
120,,"Alagash Drive","P6A 5K6","SSM",46.46879612,-84.47522713,693836.9299999997,5149230.76
124,,"Alagash Drive","P6A 5K6","SSM",46.46883963,-84.47497255,693857.6400000006,5149238.869999999
128,,"Alagash Drive","P6A 5K6","SSM",46.46899764,-84.47484879,693866.5800000001,5149256.73
132,,"Alagash Drive","P6A 5K6","SSM",46.46913124,-84.47469177,693879.6699999999,5149265.85
140,,"Alagash Drive","P6A 5K6","SSM",46.46946257,-84.47454253,693888.4399999995,5149309.140000001
144,,"Alagash Drive","P6A 5K6","SSM",46.46932882,-84.4742163,693913.9600000009,5149295.08
152,,"Alagash Drive","P6A 5K6","SSM",46.46950529,-84.47400754,693929.3599999994,5149315.199999999
158,,"Alagash Drive","P6A 5K6","SSM",46.46972644,-84.47373965,693946.4900000002,5149336.73
166,,"Alagash Drive","P6A 5K6","SSM",46.46989672,-84.47351189,693966.0199999996,5149359.91
170,,"Alagash Drive","P6A 5K6","SSM",46.47003565,-84.47323348,693986.9000000004,5149376.029999999
174,,"Alagash Drive","P6A 5K6","SSM",46.47012813,-84.47306898,693999.1999999993,5149386.710000001
178,,"Alagash Drive","P6A 5K6","SSM",46.47027955,-84.47287517,694013.5399999991,5149404.01
181,,"Alagash Drive","P6A 5K6","SSM",46.47165288,-84.4729572,694002.3599999994,5149556.4
182,,"Alagash Drive","P6A 5K6","SSM",46.47036915,-84.47266977,694028.9900000002,5149414.470000001
186,,"Alagash Drive","P6A 5K6","SSM",46.47047938,-84.47255903,694037.0999999996,5149426.99
190,,"Alagash Drive","P6A 5K6","SSM",46.47061541,-84.47237753,694050.5500000007,5149442.550000001
194,,"Alagash Drive","P6A 5K6","SSM",46.47069971,-84.47217667,694065.6699999999,5149452.41
198,,"Alagash Drive","P6A 5K6","SSM",46.47078284,-84.47195971,694082.0299999993,5149462.18
202,,"Alagash Drive","P6A 5K6","SSM",46.47089699,-84.47176971,694096.2100000009,5149475.33
206,,"Alagash Drive","P6A 5K6","SSM",46.47100064,-84.47157707,694110.6300000008,5149487.32
214,,"Alagash Drive","P6A 5K6","SSM",46.47108213,-84.47132293,694129.8499999996,5149497
221,,"Alagash Drive","P6A 5K6","SSM",46.47189822,-84.47222848,694057.4299999997,5149585.449999999
6,,"Alden Road","P6C 5V3","SSM",46.54293741,-84.38843267,700229.0399999991,5157687.99
8,,"Alden Road","P6C 5V3","SSM",46.5429516,-84.38852995,700221.5299999993,5157689.32
10,,"Alden Road","P6C 5V3","SSM",46.54301475,-84.38867431,700210.2300000004,5157695.970000001
12,,"Alden Road","P6C 5V3","SSM",46.54301954,-84.38878938,700201.3900000006,5157696.210000001
13,,"Alden Road","P6C 5V2","SSM",46.54255363,-84.38892834,700192.4499999993,5157644.09
14,,"Alden Road","P6C 5V3","SSM",46.54299428,-84.38896798,700187.7899999991,5157692.949999999
15,,"Alden Road","P6C 5V2","SSM",46.54253745,-84.38901194,700186.0999999996,5157642.08
16,,"Alden Road","P6C 5V3","SSM",46.54299494,-84.38903656,700182.5299999993,5157692.85
18,,"Alden Road","P6C 5V3","SSM",46.5429948,-84.389176,700171.8399999999,5157692.48
19,,"Alden Road","P6C 5V2","SSM",46.54254065,-84.38915187,700175.3599999994,5157642.08
20,,"Alden Road","P6C 5V3","SSM",46.54299448,-84.38927254,700164.4399999995,5157692.199999999
21,,"Alden Road","P6C 5V2","SSM",46.54253803,-84.38924604,700168.1500000004,5157641.550000001
22,,"Alden Road","P6C 5V3","SSM",46.54298934,-84.3894177,700153.3300000001,5157691.26
23,,"Alden Road","P6C 5V2","SSM",46.54254286,-84.38940637,700155.8399999999,5157641.68
