"LABEL","STOPNUMBER","SHELTERTYPE","SERVICEDAYS","TRANSFERPOINT","BENCH","GARBAGECAN","SHELTER","LATITUDE","LONGITUDE","geometry.x","geometry.y"
"Across from Northland Rd.",,,"Daily","No","No","NO","No",46.53212928,-84.34578493,703539.1300000008,5156596.23
"Flying J Truck Stop",,,"Daily","No","No","NO","No",46.55680785,-84.31976171,705441.4700000007,5159405.76
"Civic # 278",,,"Daily","No","No","NO","No",46.53753239,-84.36412187,702112.9499999993,5157149.43
"Civic # 604",,,"Daily","No","No","NO","No",46.53707333,-84.38014335,700886.1999999993,5157057.5
,,,"Daily","No","No","NO","No",46.54516958,-84.3827502,700656.4700000007,5157950.449999999
,,,"Daily","No","No","NO","No",46.5450733,-84.38663747,700358.8100000005,5157929.869999999
,,,"Daily","No","No","NO","No",46.54221873,-84.38837612,700236.0199999996,5157608.279999999
"Civic # 531",,,"Daily","No","No","NO","No",46.53702162,-84.37660142,701157.9700000007,5157060.779999999
,,,"Daily","No","No","NO","No",46.53710335,-84.37356066,701390.8200000003,5157077.619999999
"Pet Valu",,,"Daily","No","No","NO","No",46.53749824,-84.35669932,702682.1999999993,5157164.68
"Civic # 67",,,"Daily","No","No","NO","No",46.53757453,-84.35376883,702906.6099999994,5157180.6899999995
"Civic # 1737",,,"Daily","No","No","NO","No",46.49684173,-84.27706493,708944.0299999993,5152855.01
,,,"Daily","No","No","NO","No",46.512348,-84.25564735,710527.5299999993,5154634.83
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.52168575,-84.30788565,706484.9299999997,5155534.32
"Community of Christ",,,"Daily","No","No","NO","No",46.52174831,-84.29854749,707200.9000000004,5155565.75
"Across from Civic # 508",,,"Daily","No","No","NO","No",46.51812896,-84.29557962,707442.3100000005,5155171.4
"Howard Johnson",,,"Daily","No","No","NO","No",46.51884429,-84.28044494,708600.4299999997,5155290.779999999
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.51012206,-84.27759419,708852.5199999996,5154329.1899999995
"Civic # 390",,,"Daily","No","No","NO","No",46.52189017,-84.30857453,706431.3200000003,5155555.23
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.52134144,-84.31955168,705591.4800000004,5155465.6
"Across from Civic # 340",,,"Daily","No","No","NO","No",46.51954062,-84.32661905,705056.2100000009,5155247.119999999
,,,"Daily","No","No","NO","No",46.51741097,-84.32996621,704807.4900000002,5155001.800000001
"Civic # 91",,,"Daily","No","No","NO","No",46.54137923,-84.32969046,704738.5,5157665.65
"Across from Churchill Ave.",,,"Daily","No","No","NO","No",46.53962004,-84.35041552,703156.0899999999,5157416.6
"Civic # 1086",,,"Daily","No","No","NO","No",46.54872956,-84.35102521,703075.3499999996,5158427.199999999
"Gino's Restaurant",,,"Daily","No","No","NO","No",46.55954598,-84.32001012,705412.0899999999,5159709.35
,,,"Daily","No","No","NO","No",46.56168831,-84.32020492,705389.0700000003,5159946.880000001
"Civic # 1345",,,"Daily","No","No","NO","No",46.55766296,-84.35174434,702986.8900000006,5159417.949999999
"Civic # 128",,,"Daily","No","No","NO","No",46.53771543,-84.35689092,702666.6999999993,5157188.32
"Civic # 124",,,"Daily","No","No","NO","No",46.52596956,-84.3152427,705904.4700000007,5155991.07
