"CIVICNUMBER","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE"
2060,"Third Line West","P6A 5K8","SSM",46.55004978,-84.45437723
55,"Avery Road","P6A 5K8","SSM",46.55780393,-84.40678531
109,"Hood Street","P6C 6E5","SSM",46.56176528,-84.39361588
2117,"Second Line West","P6A 5K6","SSM",46.53484237,-84.45630567
591,"Maki Road","P6A 5K8","SSM",46.5694286,-84.4184874
286,"Dacey Road","P6A 5J7","SSM",46.52427685,-84.25731542
833,"Town Line Road","P6A 6K4","Prince",46.53011743,-84.46668698
1486,"Third Line West","P6A 5K8","SSM",46.5508363,-84.42691306
137,"McQueen Road","P6C 6E3","SSM",46.56271634,-84.38986568
44,"Reid Street","P6B 4T8","SSM",46.52415708,-84.32608342
340,"Nixon Road","P6C 5R9","SSM",46.53216058,-84.41121653
980,"Allen's Side Road","P6A 5K8","SSM",46.55528015,-84.40318871
1850,"Third Line West","P6A 5K8","SSM",46.54946372,-84.44284059
986,"Allen's Side Road","P6A 5K8","SSM",46.55571734,-84.40321494
144,"Pageant Drive","P6B 5J9","SSM",46.52636627,-84.29875484
1050,"Allen's Side Road","P6A 5K8","SSM",46.55651647,-84.40323603
806,"Queen Street East","P6A 2B1","SSM",46.50703612,-84.32494081
1960,"Third Line West","P6A 5K8","SSM",46.55003388,-84.44963779
1110,"Base Line","P6A 5K6","SSM",46.52208145,-84.43762971
556,"Leigh's Bay Road","P6A 5K6","SSM",46.52469403,-84.42344242
8,"Ransome Drive","P6C 1N2","SSM",46.53078043,-84.40357328
734,"Allen's Side Road","P6A 5K8","SSM",46.54823763,-84.4030239
63,"Foothill Road","P6C 0E5","SSM",46.56459478,-84.38627616
1154,"Goulais Avenue","P6A 5K8","SSM",46.56346438,-84.38201241
153,"Foothill Road","P6C 0E5","SSM",46.56431032,-84.39078047
497,"Maki Road","P6A 5K8","SSM",46.56679731,-84.41704577
87,"Palomino Drive","P6A 0B3","SSM",46.5450649,-84.41158874
826,"Queen Street East","P6A 2B2","SSM",46.50670759,-84.3240359
47,"Foothill Road","P6C 0E5","SSM",46.56453533,-84.38551437
1173,"Wallace Terrace","P6C 1M8","SSM",46.52882936,-84.40493876
58,"Palomino Drive","P6A 0B1","SSM",46.54487248,-84.40947892
482,"Second Line West","P6C 2K2","SSM",46.53738891,-84.37434766
6,"Ransome Drive","P6C 1N2","SSM",46.53073282,-84.40326845
92,"Hood Street","P6C 6E5","SSM",46.56349398,-84.39313767
155,"Allen's Side Road","P6C 5P4","SSM",46.5272954,-84.40283007
778,"Town Line Road","P6A 6K4","SSM",46.52875294,-84.46564337
647,"Old Garden River Road","P6A 0C9","SSM",46.54617153,-84.29514646
618,"Allen's Side Road","P6A 5K8","SSM",46.54554021,-84.40263008
62,"Foothill Road","P6C 0E4","SSM",46.56494321,-84.38627376
11,"Palomino Drive","P6A 0B1","SSM",46.54443251,-84.40450933
482,"Second Line West","P6C 2K2","SSM",46.53739011,-84.3742507
814,"Queen Street East","P6A 2B1","SSM",46.50683351,-84.32476709
126,"Allen's Side Road","P6C 5P5","SSM",46.52642737,-84.40157561
87,"Anderson Road","P6C 6G5","SSM",46.53915323,-84.4142715
482,"Second Line West","P6C 2K2","SSM",46.53744846,-84.37434988
28,"Cody Point Court","P6B 6L8","SSM",46.52664644,-84.3330698
482,"Second Line West","P6C 2K2","SSM",46.53745037,-84.37425706
1024,"Third Line West","P6A 5K8","SSM",46.55154432,-84.40323056
37,"Anderson Road","P6C 5S1","SSM",46.53744016,-84.41400022
3060,"Third Line West","P6A 5K8","SSM",46.55040646,-84.45896508
138,"Gore Street","P6A 1M1","SSM",46.51856891,-84.34022294
126,"Glen Avenue","P6A 5E2","SSM",46.50700166,-84.26715552
796,"Third Line West","P6A 5K8","SSM",46.55199922,-84.39133401
