"CIVICNUMBER","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE"
69,"Louise Avenue","P6A 6A5","SSM",46.5011812,-84.26679689
15,"Royal York Boulevard","P6A 6X3","SSM",46.52078919,-84.24446335
62,"Adrian Drive","P6A 4W9","SSM",46.51671764,-84.26168596
392,"Chambers Avenue","P6A 4W5","SSM",46.52102383,-84.25953524
265,"Eastern Avenue","P6A 4R5","SSM",46.52177643,-84.26239398
130,"Boundary Road","P6A 5B8","SSM",46.50559324,-84.26892155
60,"Sutton Place","P6A 6B4","SSM",46.51428754,-84.27556105
3844,"Queen Street East","P6A 5K9","SSM",46.52178084,-84.24909396
140,"Chartwell Drive","P6A 6A2","SSM",46.51589207,-84.27231947
159,"Boundary Road","P6A 5R5","SSM",46.50594349,-84.27086074
206,"Anna Street","P6B 3T2","SSM",46.53051973,-84.27072735
123,"Dacey Road","P6A 5K9","SSM",46.52102112,-84.25180177
259,"Eastern Avenue","P6A 4R5","SSM",46.52167824,-84.26257793
396,"Chambers Avenue","P6A 4W5","SSM",46.52118872,-84.25939682
258,"Boundary Road","P6A 5B9","SSM",46.50935974,-84.27054051
445,"Boundary Road","P6A 5Z2","SSM",46.51394704,-84.27127043
19,"Kerr Drive","P6A 5H8","SSM",46.51555668,-84.25437235
94,"Adrian Drive","P6A 4W9","SSM",46.51776898,-84.26060967
74,"Bowker Street","P6A 5W5","SSM",46.5194639,-84.25591725
194,"Carlbert Street","P6A 5E1","SSM",46.5088547,-84.26930269
57,"Taskar Drive","P6A 6N5","SSM",46.51299527,-84.25873719
124,"Amber Street","P6A 5G1","SSM",46.51495385,-84.26101145
136,"Chartwell Drive","P6A 6A2","SSM",46.51575759,-84.27231108
69,"Greenview Lane","P6A 6K8","SSM",46.50884037,-84.27530563
192,"Louise Avenue","P6A 5X2","SSM",46.50471593,-84.2638798
115,"Dacey Road","P6A 5K9","SSM",46.52085545,-84.25141703
45,"Glenwood Avenue","P6A 4T8","SSM",46.52009741,-84.261903
3845,"Queen Street East","P6A 5K9","SSM",46.52150363,-84.24843557
1127,"Trunk Road","P6A 6X8","SSM",46.52863132,-84.25767442
76,"Muriel Drive","P6A 6X4","SSM",46.524016,-84.24499062
26,"Chicora Crescent","P6A 5S9","SSM",46.51706344,-84.25434855
169,"River Road","P6A 6C3","SSM",46.5157369,-84.24862141
73,"Greenview Lane","P6A 6K8","SSM",46.50876991,-84.27507934
70,"Bowker Street","P6A 5W5","SSM",46.51954809,-84.2560649
7,"Royal York Boulevard","P6A 6X3","SSM",46.52058031,-84.24424379
162,"Manitou Drive","P6B 5K9","SSM",46.53050381,-84.27523572
601,"Boundary Road","P6A 5C5","SSM",46.51932777,-84.27121951
650,"Boundary Road","P6A 5C7","SSM",46.52244421,-84.27028066
158,"Manitou Drive","P6B 5K9","SSM",46.53037012,-84.27522285
119,"Dacey Road","P6A 5K9","SSM",46.52091168,-84.25157326
11,"East Champagne Drive","P6A 6S9","SSM",46.50877476,-84.25928076
19,"Vera Avenue","P6B 5M9","SSM",46.52666624,-84.27065437
82,"Megginson Drive","P6A 6A9","SSM",46.51484812,-84.26281192
198,"Carlbert Street","P6A 5E1","SSM",46.50900778,-84.26930962
185,"Louise Avenue","P6A 5X1","SSM",46.50435146,-84.26348257
91,"Gibbs Street","P6A 5H3","SSM",46.5211973,-84.26617393
11,"Jemmette Street","P6A 5W9","SSM",46.5181011,-84.25756305
69,"Adeline Avenue","P6B 5M6","SSM",46.5259952,-84.27134062
127,"Dacey Road","P6A 5K9","SSM",46.52111921,-84.25196971
186,"Glen Avenue","P6A 5E2","SSM",46.50837156,-84.2680664
40,"Parkshore Court","P6A 5Z3","SSM",46.51025982,-84.25457268
76,"Louise Avenue","P6A 6A6","SSM",46.50155123,-84.26725392
53,"Taskar Drive","P6A 6N5","SSM",46.51310726,-84.25860341
7,"Ashgrove Avenue","P6A 4X3","SSM",46.51119764,-84.2672935
16,"Shoreview Court","P6A 5Y5","SSM",46.51279744,-84.25332733
86,"Megginson Drive","P6A 6A9","SSM",46.51493358,-84.26272419
7,"East Champagne Drive","P6A 6S9","SSM",46.50863214,-84.25939847
44,"Carlbert Street","P6A 5S5","SSM",46.50521665,-84.26581477
72,"Louise Avenue","P6A 6A6","SSM",46.50145069,-84.26738513
85,"Willowdale Street","P6A 5Y1","SSM",46.51540136,-84.25122759999999
213,"Anna Street","P6B 3S9","SSM",46.53051805,-84.27015927
81,"Willowdale Street","P6A 5Y1","SSM",46.51529652,-84.2513441
11,"Ashgrove Avenue","P6A 4X3","SSM",46.51131952,-84.26715103
191,"Louise Avenue","P6A 5X1","SSM",46.50449778,-84.26333875
178,"Glen Avenue","P6A 5E2","SSM",46.50831094,-84.26712335
34,"Jean Avenue","P6B 4B3","SSM",46.53002271,-84.274743
242,"Glen Avenue","P6A 5E2","SSM",46.51025115,-84.26672687
113,"Taskar Drive","P6A 6N5","SSM",46.51330728,-84.25914517
1886,"Queen Street East","P6A 2H1","SSM",46.49809323,-84.27166201
109,"Taskar Drive","P6A 6N5","SSM",46.51321403,-84.25926523
264,"Eastern Avenue","P6A 4R6","SSM",46.52205727,-84.26292526
71,"Park Street","P6A 5G7","SSM",46.52051365,-84.26798064
131,"Dacey Road","P6A 5K9","SSM",46.52120621,-84.25212543
173,"Bristol Place","P6A 6L9","SSM",46.51399104,-84.27288006
76,"Amy Avenue","P6B 3X6","SSM",46.52891342,-84.27185121
38,"Jean Avenue","P6B 4B3","SSM",46.53002981,-84.27450101
97,"Market Street","P6A 4T4","SSM",46.51970379,-84.26690222
71,"Copernicus Drive","P6A 6H3","SSM",46.5124024,-84.25670249
15,"Jemmette Street","P6A 5W9","SSM",46.5181792,-84.25773486
151,"Chicora Crescent","P6A 5T1","SSM",46.51818814,-84.25243284
35,"Glen Avenue","P6A 5V1","SSM",46.50488401,-84.26378768
256,"Parkland Crescent","P6A 6R1","SSM",46.51688625,-84.25822992
141,"Greenview Court","P6A 6K7","SSM",46.50978209,-84.27184363
54,"Sutton Place","P6A 6B4","SSM",46.51436305,-84.27537632
454,"Boundary Road","P6A 5C2","SSM",46.51613611,-84.27052339
3837,"Queen Street East","P6A 5K9","SSM",46.5212437,-84.24864806
165,"Manitou Drive","P6B 5K8","SSM",46.53068265,-84.2758252
50,"Jean Avenue","P6B 4B3","SSM",46.52999306,-84.27395255
171,"Gibbs Street","P6A 5H5","SSM",46.52283742,-84.26952662
400,"Chambers Avenue","P6A 4W5","SSM",46.521329,-84.25924126
1890,"Queen Street East","P6A 2H1","SSM",46.49808839,-84.27128587
98,"Frontenac Street","P6B 2A3","SSM",46.52568348,-84.26696134
83,"Gibbs Street","P6A 5H3","SSM",46.52110438,-84.26586776
55,"Manitou Drive","P6B 5K4","SSM",46.52686631,-84.27572847
3839,"Queen Street East","P6A 5K9","SSM",46.52136668,-84.24852633
155,"Boundary Road","P6A 5R5","SSM",46.50587976,-84.27059999
1,"Chambers Avenue","P6A 4T9","SSM",46.50958956,-84.27043318
15,"Vera Avenue","P6B 5M9","SSM",46.52654671,-84.2707442
110,"Bristol Place","P6A 6L8","SSM",46.51299276,-84.27636782
84,"Amy Avenue","P6B 3X6","SSM",46.52894013,-84.27148879
20,"Park Street","P6A 5G8","SSM",46.52182186,-84.26968888
23,"Joel Court","P6A 5E7","SSM",46.5107475,-84.26524053
49,"Taskar Drive","P6A 6N5","SSM",46.51324301,-84.25849958
90,"Megginson Drive","P6A 6A9","SSM",46.51504012,-84.26261415
78,"Chartwell Drive","P6A 6A2","SSM",46.51381477,-84.27179577
11,"Murphy Street","P6A 5Z5","SSM",46.51312159,-84.25261433
93,"Chambers Avenue","P6A 4V2","SSM",46.51223145,-84.26778147
80,"Amy Avenue","P6B 3X6","SSM",46.52892875,-84.27166019
53,"Wayne Court","P6A 4S5","SSM",46.51689174,-84.26629707
86,"Bowker Street","P6A 5W5","SSM",46.51921953,-84.25540687
85,"Chambers Avenue","P6A 4V2","SSM",46.51196238,-84.26805021
20,"Dacey Road","P6A 5K9","SSM",46.51905217,-84.24642032
15,"Murphy Street","P6A 5Z5","SSM",46.51322891,-84.25273198
66,"Chambers Avenue","P6A 4V1","SSM",46.51172652,-84.26899684
82,"Bowker Street","P6A 5W5","SSM",46.51930438,-84.25557822
46,"Dacey Road","P6A 5K9","SSM",46.51961568,-84.24741856
12,"East Champagne Drive","P6A 6S9","SSM",46.50856161,-84.25880292
82,"Chartwell Drive","P6A 6A2","SSM",46.51394969,-84.27179958
89,"Chambers Avenue","P6A 4V2","SSM",46.51210728,-84.26789955
9,"Lorna Drive","P6A 6H4","SSM",46.50967285,-84.25828882
128,"Willowdale Street","P6A 5Z4","SSM",46.51660539,-84.24969
273,"Eastern Avenue","P6A 4R5","SSM",46.52195583,-84.26223723
114,"Amber Street","P6A 5G1","SSM",46.51468958,-84.26057093
161,"Manitou Drive","P6B 5K8","SSM",46.53052975,-84.27584797
99,"Kerr Drive","P6A 5J1","SSM",46.51702608,-84.25757206
191,"Glen Avenue","P6A 5E3","SSM",46.50858489,-84.26867762
90,"Bowker Street","P6A 5W5","SSM",46.51916122,-84.2552458
22,"Chicora Crescent","P6A 5S9","SSM",46.51698264,-84.25419578
88,"Chambers Avenue","P6A 4V3","SSM",46.51237034,-84.26835487
18,"South Market Street","P6A 5G4","SSM",46.51546653,-84.26602024
31,"Greene Street","P6B 3V3","SSM",46.52685941,-84.27441599
11,"Kerr Drive","P6A 5H8","SSM",46.51540235,-84.25408093
60,"Dacey Road","P6A 5K9","SSM",46.519814,-84.24813801
88,"Greenview Lane","P6A 6K9","SSM",46.50922219,-84.27453348
103,"Kerr Drive","P6A 5J1","SSM",46.51712718,-84.25771208
72,"Muriel Drive","P6A 6X4","SSM",46.52392815,-84.24477392
687,"River Road","P6A 5K9","SSM",46.53057054,-84.23723762
114,"Bristol Place","P6A 6L8","SSM",46.51299731,-84.27612447
100,"Lawson Avenue","P6B 4G1","SSM",46.53102604,-84.27074853
30,"Wayne Court","P6A 4S4","SSM",46.51656467,-84.26566475
171,"Manitou Drive","P6B 5K8","SSM",46.53085259,-84.27581852
177,"River Road","P6A 6C3","SSM",46.51595776,-84.24836307
107,"Heath Road","P6A 6E1","SSM",46.51231063,-84.27267986
56,"Dacey Road","P6A 5K9","SSM",46.51984917,-84.24784562
162,"Kerr Drive","P6A 5H9","SSM",46.51865753,-84.25972275
89,"Willowdale Street","P6A 5Y1","SSM",46.5154953,-84.25115964
1,"Lorna Drive","P6A 6H4","SSM",46.5095628,-84.25792558
35,"Chartwell Drive","P6A 6M7","SSM",46.51234822,-84.27240708
195,"Louise Avenue","P6A 5X1","SSM",46.50462593,-84.26319559
57,"Wayne Court","P6A 4S5","SSM",46.51699722,-84.26616909
77,"Park Street","P6A 5G7","SSM",46.52042192,-84.26778406
199,"Louise Avenue","P6A 5X1","SSM",46.50474085,-84.26308606
431,"Chambers Avenue","P6A 4W4","SSM",46.52209401,-84.25773319
546,"Boundary Road","P6A 5C4","SSM",46.5189758,-84.2704966
5,"Lorna Drive","P6A 6H4","SSM",46.50960506,-84.25808535
31,"Elaine Court","P6A 4S1","SSM",46.51249664,-84.26964029
7,"Lorna Drive","P6A 6H4","SSM",46.50963383,-84.25815912
73,"Louise Avenue","P6A 6A5","SSM",46.50129585,-84.26667996
72,"Chambers Avenue","P6A 4V1","SSM",46.5119302,-84.26880152
664,"Frontenac Street","P6A 0A7","SSM",46.53610358,-84.24381732
312,"Frontenac Street","P6A 5K9","Rankin",46.53092798,-84.25553836
23,"Vera Avenue","P6B 5M9","SSM",46.52675859,-84.27058702
337,"Parkland Crescent","P6A 6R3","SSM",46.5148468,-84.2604616
406,"Chambers Avenue","P6A 4W5","SSM",46.52147207,-84.25908255
7,"Kerr Drive","P6A 5H8","SSM",46.51533416,-84.25391372
13,"Lorna Drive","P6A 6H4","SSM",46.50977094,-84.25850613
120,"Willowdale Street","P6A 5Z4","SSM",46.51627329,-84.24983988
15,"Lorna Drive","P6A 6H4","SSM",46.50978889,-84.25858266
76,"Greenview Lane","P6A 6K9","SSM",46.50932214,-84.27526029
664,"Frontenac Street","P6A 0A7","SSM",46.53587853,-84.24356149
104,"Market Street","P6A 4T3","SSM",46.52016807,-84.26720226
274,"Bruce Street","P6B 1P6","SSM",46.51762864,-84.32906691
57,"Autumn Drive","P6A 4X1","SSM",46.51759488,-84.26001492
113,"Kerr Drive","P6A 5J1","SSM",46.51734487,-84.25804491
80,"Greenview Lane","P6A 6K9","SSM",46.50925649,-84.27501707
88,"Amy Avenue","P6B 3X6","SSM",46.52893523,-84.27128339
158,"Kerr Drive","P6A 5H9","SSM",46.51859394,-84.25954785
74,"Hardwood Street","P6A 5W3","SSM",46.51949899,-84.25491965
38,"Chicora Crescent","P6A 5S9","SSM",46.51729114,-84.25484657
435,"Chambers Avenue","P6A 4W4","SSM",46.52221049,-84.25764023
83,"Chartwell Drive","P6A 6A1","SSM",46.51398555,-84.27244986
166,"Manitou Drive","P6B 5K9","SSM",46.53065108,-84.27525951
150,"Kerr Drive","P6A 5H9","SSM",46.51840903,-84.259223
100,"Market Street","P6A 4T3","SSM",46.52004157,-84.26730926
174,"River Road","P6A 6C7","SSM",46.51623535,-84.24918681
34,"Chicora Crescent","P6A 5S9","SSM",46.51722825,-84.25468651
279,"Eastern Avenue","P6A 4R5","SSM",46.52210599,-84.26214506
84,"Greenview Lane","P6A 6K9","SSM",46.50924701,-84.27479686
149,"Wiber Street","P6B 5L8","SSM",46.52996178,-84.27319204
246,"Glen Avenue","P6A 5E2","SSM",46.51037701,-84.26659332
217,"Anna Street","P6B 3S9","SSM",46.53067675,-84.27015313
175,"Denwood Drive","P6A 5R4","SSM",46.51020453,-84.26625275
94,"Amy Avenue","P6B 3X6","SSM",46.52892169,-84.27107413
378,"Dacey Road","P6A 5J7","SSM",46.52627755,-84.26118491
49,"Glenwood Avenue","P6A 4T8","SSM",46.52025553,-84.2618313
441,"Boundary Road","P6A 5Z2","SSM",46.51378285,-84.27125401
13,"Megginson Drive","P6A 6G1","SSM",46.51295039,-84.2623282
62,"River Road","P6A 6C6","SSM",46.51290594,-84.25224689
80,"Willowdale Street","P6A 5Z4","SSM",46.51500529,-84.25085075
139,"Gibbs Street","P6A 5H5","SSM",46.52216249,-84.26806469
407,"Chambers Avenue","P6A 4W4","SSM",46.52126841,-84.25855771
53,"Glenwood Avenue","P6A 4T8","SSM",46.5204084,-84.26168671
939,"Trunk Road","P6A 5K9","SSM",46.52655358,-84.26192862
23,"Megginson Drive","P6A 6G1","SSM",46.5130945,-84.26253188
64,"Carlbert Street","P6A 5R2","SSM",46.50546704,-84.26636425
90,"Gibbs Street","P6A 5H4","SSM",46.52164333,-84.26594384
122,"Bristol Place","P6A 6L8","SSM",46.51300356,-84.27566189
276,"Eastern Avenue","P6A 4R6","SSM",46.52235014,-84.26267389
30,"Chicora Crescent","P6A 5S9","SSM",46.51713572,-84.25451739
33,"Megginson Drive","P6A 6G1","SSM",46.51323387,-84.26259436
126,"Sutton Place","P6A 6B4","SSM",46.51463017,-84.27635805
153,"Wiber Street","P6B 5L8","SSM",46.53009103,-84.27321882
15,"Pontiac Street","P6A 0C6","Rankin",46.52611311,-84.26671511
124,"Willowdale Street","P6A 5Z4","SSM",46.51642631,-84.24979956
85,"Megginson Drive","P6A 6G1","SSM",46.51468348,-84.26225114
190,"Glen Avenue","P6A 5E2","SSM",46.50853303,-84.26803302
44,"Parkshore Drive","P6A 6B3","SSM",46.51026949,-84.25432699
84,"Willowdale Street","P6A 5Z4","SSM",46.51511918,-84.25074775
194,"Glen Avenue","P6A 5E2","SSM",46.50870216,-84.26805269
110,"Frontenac Street","P6B 2A3","Rankin",46.52592731,-84.26656692
46,"Manitou Drive","P6B 5K5","SSM",46.52660819,-84.27510558
141,"Gibbs Street","P6A 5H5","SSM",46.52223209,-84.26822392
328,"Frontenac Street","P6A 5K9","Rankin",46.53123725,-84.2545948
87,"Joel Court","P6A 5E7","SSM",46.51181455,-84.26428918
26,"Wayne Court","P6A 4S4","SSM",46.51647361,-84.26549241
138,"River Road","P6A 6C7","SSM",46.51511016,-84.25011084
394,"Courtney Crescent","P6A 6G7","SSM",46.51320947,-84.26183088
139,"Chicora Crescent","P6A 5T1","SSM",46.51841957,-84.25295518
892,"Frontenac Street","P6A 0C1","SSM",46.54021783,-84.23425898
39,"Robin Street","P6A 5Y4","SSM",46.52278844,-84.26329779
874,"Frontenac Street","P6A 0C1","SSM",46.53993254,-84.23498848
22,"South Market Street","P6A 5G4","SSM",46.51555137,-84.26618077
165,"Centennial Avenue","P6A 5B2","SSM",46.50382825,-84.26768691
458,"Boundary Road","P6A 5C2","SSM",46.51629246,-84.27052051
154,"Kerr Drive","P6A 5H9","SSM",46.51849464,-84.25937045
42,"Wayne Court","P6A 4S4","SSM",46.51665666,-84.26582701
878,"Frontenac Street","P6A 0C1","SSM",46.5402592,-84.23508706
270,"Eastern Avenue","P6A 4R6","SSM",46.52221102,-84.26285155
86,"Gibbs Street","P6A 5H4","SSM",46.52148103,-84.26563437
128,"Wiber Street","P6B 5L7","SSM",46.52932787,-84.27261324
118,"Bristol Place","P6A 6L8","SSM",46.51298614,-84.27588633
96,"Adrian Drive","P6A 4W9","SSM",46.51781469,-84.26056799
41,"Robin Street","P6A 5Y4","SSM",46.52300678,-84.26319998
92,"Greenview Lane","P6A 6K9","SSM",46.50922227,-84.27429493
199,"Glen Avenue","P6A 5E3","SSM",46.50894893,-84.26861687
101,"Parkinworth Place","P6A 6Y8","SSM",46.52431111,-84.24619314
142,"River Road","P6A 6C7","SSM",46.5152187,-84.25001358
30,"South Market Street","P6A 5G4","SSM",46.5157159,-84.26652373
7,"Murphy Street","P6A 5Z5","SSM",46.51300711,-84.25249469
86,"Chartwell Drive","P6A 6A2","SSM",46.5140938,-84.27176654
195,"Glen Avenue","P6A 5E3","SSM",46.50877434,-84.26865143
27,"Elaine Court","P6A 4S1","SSM",46.51241524,-84.26945782
464,"Boundary Road","P6A 5C2","SSM",46.51645839,-84.27053032
191,"Pim Street","P6A 3H1","SSM",46.50964768,-84.32053788
136,"Wiber Street","P6B 5L7","SSM",46.52958871,-84.27260279
37,"Megginson Drive","P6A 6G1","SSM",46.51340619,-84.26264945
95,"Kerr Drive","P6A 5J1","SSM",46.51693462,-84.2573201
91,"Joel Court","P6A 5E7","SSM",46.51173561,-84.26408587
107,"Market Street","P6A 4T4","SSM",46.51996923,-84.26664405
26,"South Market Street","P6A 5G4","SSM",46.5156304,-84.2663545
8,"Barber Boulevard","P6A 5T4","SSM",46.50426169,-84.26182743
16,"Barber Boulevard","P6A 5T4","SSM",46.50415249,-84.26157432
70,"Hardwood Street","P6A 5W3","SSM",46.51938736,-84.25503466
333,"Parkland Crescent","P6A 6R3","SSM",46.51496106,-84.26032483
390,"Courtney Crescent","P6A 6G7","SSM",46.51333938,-84.26203541
3851,"Queen Street East","P6A 5K9","SSM",46.5216255,-84.24833502
34,"South Market Street","P6A 5G4","SSM",46.51579185,-84.26667375
80,"Louise Avenue","P6A 6A6","SSM",46.50167948,-84.26715222
449,"Boundary Road","P6A 5Z2","SSM",46.5140648,-84.27124914
11,"Lorna Drive","P6A 6H4","SSM",46.50970809,-84.25839224
91,"Wayne Court","P6A 4S5","SSM",46.51729267,-84.26463346
143,"Amber Street","P6A 6M5","SSM",46.51490469,-84.26205894
85,"Jean Avenue","P6B 4B5","SSM",46.52953104,-84.2720529
68,"Copernicus Drive","P6A 6H2","SSM",46.51236885,-84.25605863
73,"Dell Avenue","P6A 5C8","SSM",46.50230287,-84.27066821
403,"Chambers Avenue","P6A 4W4","SSM",46.52115166,-84.25866933
89,"Jean Avenue","P6B 4B5","SSM",46.52957813,-84.27188037
78,"Hardwood Street","P6A 5W3","SSM",46.51961901,-84.25484332
33,"Bay Road","P6A 5K9","SSM",46.5183528,-84.24863008
2269,"Queen Street East","P6A 5K9","SSM",46.5081447,-84.25805143
556,"Boundary Road","P6A 5C4","SSM",46.51930519,-84.27051478
95,"Joel Court","P6A 5E7","SSM",46.51163794,-84.26388924
2160,"Queen Street East","P6A 5T7","SSM",46.50437692,-84.26271527
276,"Parkland Crescent","P6A 6R2","SSM",46.51693821,-84.25923313
902,"Frontenac Street","P6A 0C1","SSM",46.54040275,-84.23381121
171,"Centennial Avenue","P6A 5B2","SSM",46.50374494,-84.26746586
560,"Boundary Road","P6A 5C4","SSM",46.51947977,-84.27052898
18,"Chicora Crescent","P6A 5S9","SSM",46.5169007,-84.25403682
50,"Manitou Drive","P6B 5K5","SSM",46.52674033,-84.27512505
165,"Gibbs Street","P6A 5H5","SSM",46.52277313,-84.26936334
223,"Anna Street","P6B 3S9","SSM",46.53085388,-84.27017594
3852,"Queen Street East","P6A 5K9","SSM",46.52190269,-84.24889131
139,"Amber Street","P6A 6M5","SSM",46.51485236,-84.26189562
65,"Maki Lake Road","P6A 0E4","Aweres Township",46.63135671,-84.2935804
14,"Chicora Crescent","P6A 5S9","SSM",46.51683659,-84.2538707
329,"Parkland Crescent","P6A 6R3","SSM",46.51511698,-84.26017267
175,"Manitou Drive","P6B 5K8","SSM",46.53101003,-84.27581938
99,"Joel Court","P6A 5E7","SSM",46.51152764,-84.26367291
386,"Courtney Crescent","P6A 6G7","SSM",46.51348641,-84.26215069
2038,"Queen Street East","P6A 2H3","SSM",46.50092053,-84.26613339
130,"Bristol Place","P6A 6L8","SSM",46.51302932,-84.27517943
96,"Willowdale Street","P6A 5Z4","SSM",46.51549017,-84.25041497
72,"Wayne Court","P6A 4S4","SSM",46.51697755,-84.26498213
33,"Simon Avenue","P6A 5X4","SSM",46.50535139,-84.26569448
66,"Copernicus Drive","P6A 6H2","SSM",46.51230933,-84.25610217
89,"Kerr Drive","P6A 5J1","SSM",46.51687515,-84.25713327
53,"Greenview Lane","P6A 6K8","SSM",46.50910208,-84.27630943
92,"Willowdale Street","P6A 5Z4","SSM",46.51537328,-84.25052803
463,"River Road","P6A 5K9","SSM",46.52372398,-84.24009744
99,"Wayne Court","P6A 4S5","SSM",46.51713061,-84.26429246
138,"Kerr Drive","P6A 5H9","SSM",46.51818537,-84.25870858
453,"Boundary Road","P6A 5Z2","SSM",46.5142237,-84.27119099
88,"Willowdale Street","P6A 5Z4","SSM",46.51527077,-84.25062159
32,"Boundary Road","P6A 6J9","SSM",46.50341074,-84.26437206
27,"Greene Street","P6B 3V3","SSM",46.52675269,-84.27460558
81,"Louise Avenue","P6A 6A5","SSM",46.50143941,-84.26651453
100,"Parkshore Drive","P6A 6B3","SSM",46.5110447,-84.25521281
124,"Sutton Place","P6A 6B4","SSM",46.51464813,-84.27644671
37,"Simon Avenue","P6A 5X4","SSM",46.50550581,-84.26555469
21,"Greene Street","P6B 3V3","SSM",46.52686038,-84.27505684
78,"Chambers Avenue","P6A 4V1","SSM",46.51205089,-84.26868845
227,"Anna Street","P6B 3S9","SSM",46.53101457,-84.27016254
1963,"Queen Street East","P6A 2G8","SSM",46.49806905,-84.26713918
42,"Bristol Place","P6A 6L8","SSM",46.51269755,-84.27464225
2166,"Queen Street East","P6A 5T7","SSM",46.50453012,-84.26258466
14,"South Market Street","P6A 5G4","SSM",46.51538601,-84.2658449
17,"Elaine Court","P6A 4S1","SSM",46.51222776,-84.26908839
143,"Chicora Crescent","P6A 5T1","SSM",46.51833992,-84.25278645
96,"Greenview Lane","P6A 6K9","SSM",46.50923688,-84.27407364
134,"Sutton Place","P6A 6B4","SSM",46.51468019,-84.27584712
147,"Chicora Crescent","P6A 5T1","SSM",46.51824578,-84.25258807
147,"South Market Street","P6A 6E5","SSM",46.51691517,-84.27140217
892,"Frontenac Street","P6A 0C1","SSM",46.54052039,-84.23454059
23,"Griffon Street","P6A 5S8","SSM",46.51735836,-84.25390606
87,"Wayne Court","P6A 4S5","SSM",46.51737473,-84.26478318
94,"Megginson Drive","P6A 6A9","SSM",46.51516366,-84.26251512
399,"Chambers Avenue","P6A 4W4","SSM",46.52100347,-84.25882868
16,"Joel Court","P6A 5S4","SSM",46.51090981,-84.26456156
440,"Chambers Avenue","P6A 4W6","SSM",46.52258534,-84.25797392
19,"Griffon Street","P6A 5S8","SSM",46.51727867,-84.25375076
32,"Bay Road","P6A 5K9","SSM",46.51873114,-84.24927224
11,"Adeline Avenue","P6B 5M3","SSM",46.52380122,-84.27122941
128,"Sutton Place","P6A 6B4","SSM",46.51465621,-84.27619666
26,"Ashgrove Avenue","P6A 4X2","SSM",46.51198783,-84.26724018
38,"Bristol Place","P6A 6L8","SSM",46.51278514,-84.2744242
142,"Kerr Drive","P6A 5H9","SSM",46.5182446,-84.25888539
1981,"Queen Street East","P6A 2G8","SSM",46.49846494,-84.26671284
178,"Parkland Crescent","P6A 6M3","SSM",46.51567374,-84.25569778
26,"Bay Road","P6A 5K9","SSM",46.51890135,-84.24910471
83,"Wayne Court","P6A 4S5","SSM",46.51746361,-84.26494703
126,"Bristol Place","P6A 6L8","SSM",46.51302814,-84.27542066
132,"Sutton Place","P6A 6B4","SSM",46.51466995,-84.27594228
174,"Parkland Crescent","P6A 6M3","SSM",46.51556432,-84.25552599
130,"Sutton Place","P6A 6B4","SSM",46.5146646,-84.27611072
235,"Dacey Road","P6A 5J8","SSM",46.52293538,-84.25575863
72,"Dell Avenue","P6A 5R6","SSM",46.50226348,-84.26993495
4181,"Queen Street East","P6A 5K9","SSM",46.53197888,-84.24049469
15,"Griffon Street","P6A 5S8","SSM",46.51718811,-84.25361517
32,"Parkshore Court","P6A 5Z3","SSM",46.51051609,-84.25495618
11,"Griffon Street","P6A 5S8","SSM",46.51713244,-84.25341812
180,"Boundary Road","P6A 5B9","SSM",46.50666504,-84.27055192
30,"Ashgrove Avenue","P6A 4X2","SSM",46.51211241,-84.26710161
147,"Centennial Avenue","P6A 5B2","SSM",46.50415856,-84.26859095
286,"Eastern Avenue","P6A 4R6","SSM",46.52266217,-84.26239952
56,"Ross Street","P6A 5Y8","SSM",46.52106539,-84.25813428
4193,"Queen Street East","P6A 5K9","SSM",46.53254505,-84.24009459
75,"Copernicus Drive","P6A 6H3","SSM",46.51250205,-84.25661691
49,"Birchgrove Road","P6A 0E4","Aweres Township",46.63141442,-84.29420097
17,"Adrian Drive","P6A 4W8","SSM",46.51560203,-84.26131938
85,"Greenview Lane","P6A 6K8","SSM",46.50875476,-84.27428182
288,"River Road","P6A 5K9","SSM",46.51929137,-84.24605686
84,"Louise Avenue","P6A 6A6","SSM",46.50180276,-84.26699328
21,"Elaine Court","P6A 4S1","SSM",46.5123233,-84.26925998
79,"Copernicus Drive","P6A 6H3","SSM",46.51264983,-84.25653438
52,"Ross Street","P6A 5Y8","SSM",46.5209305,-84.25827419
166,"Parkland Crescent","P6A 6M3","SSM",46.51542532,-84.25519064
198,"Glen Avenue","P6A 5E2","SSM",46.50888017,-84.26802969
194,"Chambers Avenue","P6A 4V7","SSM",46.51532461,-84.26538491
198,"Chambers Avenue","P6A 4V7","SSM",46.51542552,-84.26524296
159,"Gibbs Street","P6A 5H5","SSM",46.52263966,-84.26921279
103,"Chambers Avenue","P6A 4V2","SSM",46.51249733,-84.26750741
170,"Parkland Crescent","P6A 6M3","SSM",46.51549746,-84.25533915
134,"Bristol Place","P6A 6L8","SSM",46.51308816,-84.27494809
140,"Amber Street","P6A 5G1","SSM",46.51525486,-84.26165962
202,"Chambers Avenue","P6A 4V7","SSM",46.51553904,-84.26513492
32,"Barber Boulevard","P6A 5T4","SSM",46.5038354,-84.2608
290,"Eastern Avenue","P6A 4R6","SSM",46.52278193,-84.26224421
106,"Parkinworth Place","P6A 6X5","SSM",46.52431323,-84.24551918
280,"Eastern Avenue","P6A 4R6","SSM",46.52254039,-84.26258336
