"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"River Road"," ","River","Road"," ",252,336,251,339,"[[[711210.7799999993,5155369.01],[711288.6500000004,5155462.27],[711318.8599999994,5155496.6],[711341.4399999995,5155521.1],[711402.5299999993,5155577.98]]]"
"Dacey Road"," ","Dacey","Road"," ",15,49,16,56,"[[[711210.7799999993,5155369.01],[711074.0899999999,5155456.5]]]"
"Royal York Boulevard"," ","Royal York","Boulevard"," ",7,85,14,96,"[[[711402.5299999993,5155577.98],[711352.6500000004,5155637.24],[711079.2400000002,5155812.76]]]"
"Teal Avenue"," ","Teal","Avenue"," ",21,33,0,0,"[[[711104.0500000007,5156455.92],[711158.7799999993,5156540.279999999]]]"
"Gran Street"," ","Gran","Street"," ",486,488,485,491,"[[[710470.9199999999,5156898.369999999],[710699.5899999999,5157054.33]]]"
"Tamarack Avenue"," ","Tamarack","Avenue"," ",20,56,19,63,"[[[711356.2699999996,5156412.98],[711158.7799999993,5156540.279999999]]]"
"Landslide Road"," ","Landslide","Road"," ",1,149,2,148,"[[[708571.2899999991,5160280.539999999],[708602.4700000007,5160311.24],[708616.9800000004,5160327.76],[708631.4100000001,5160351],[708639.0500000007,5160369.08],[708642.1899999995,5160382.82],[708644.6400000006,5160397.5],[708644.4100000001,5160418.98],[708641.6099999994,5160465.77],[708634.1500000004,5160547.699999999],[708630.3499999996,5160592.050000001],[708625.9499999993,5160646.800000001],[708623.4100000001,5160673.49],[708621.7799999993,5160689.140000001],[708605.6699999999,5160778.4]]]"
"Dacey Road"," ","Dacey","Road"," ",89,95,90,104,"[[[710951.9499999993,5155534.5],[710903.5,5155566.18]]]"
"Wiber Street"," ","Wiber","Street"," ",137,169,138,164,"[[[709137.4100000001,5156524.91],[709132.9100000001,5156642.9]]]"
"Lawson Avenue"," ","Lawson","Avenue"," ",20,50,19,49,"[[[708930.4100000001,5156637.0600000005],[709122.4199999999,5156642.460000001],[709132.9100000001,5156642.9]]]"
"Jean Avenue"," ","Jean","Avenue"," ",0,0,15,15,"[[[708874.8000000007,5156517.960000001],[708934.0500000007,5156518.640000001]]]"
"Corey Avenue"," ","Corey","Avenue"," ",26,68,35,67,"[[[708927.8699999992,5156754.539999999],[709130.0700000003,5156761.050000001]]]"
"Manitou Drive"," ","Manitou","Drive"," ",173,197,168,196,"[[[708930.4100000001,5156637.0600000005],[708927.8699999992,5156754.539999999]]]"
