"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
1251,,"Town Line Road","P6A 6K4","Prince",46.54712355,-84.46779091,694129.9199999999,5157954.74
577,,"Leigh's Bay Road","P6A 5K6","SSM",46.52492664,-84.42421963,697550.6899999995,5155596.57
388,,"Lakeshore Drive","P6A 5K8","Dennis",46.62231186,-84.53137977,688993.4600000009,5166154.58
1045,,"Carpin Beach Road","P6A 5K8","SSM",46.53919267,-84.44610066,695821.2599999998,5157127.140000001
1013,,"Goulais Avenue","P6A 5K8","SSM",46.55737068,-84.3831951,700577.3800000008,5159305
59,,"Yates Avenue","P6C 1G1","SSM",46.52627104,-84.39894416,699484.2100000009,5155809.539999999
1466,,"Goulais Avenue","P6A 0B5","SSM",46.57362753,-84.38217519,700595.5800000001,5161113.92
1027,,"Goulais Avenue","P6A 5K8","SSM",46.55776795,-84.3832741,700569.8599999994,5159348.9399999995
451,,"Base Line","P6A 5K6","SSM",46.50619298,-84.40815508,698851.0899999999,5153555.4
931,,"Third Line West","P6A 5K8","SSM",46.55084594,-84.39734265,699517.0700000003,5158542.550000001
147,,"Palomino Drive","P6A 0B2","SSM",46.5490438,-84.41331106,698299.4299999997,5158303.630000001
723,,"Fourth Line West","P6A 0B5","SSM",46.56558657,-84.38747283,700219.2599999998,5160207.01
148,"B","Lakeshore Drive","P6A 5K8","Dennis",46.630623,-84.52041103,689804.1099999994,5167104.43
70,,"Ransome Drive","P6C 1N4","SSM",46.53066905,-84.40630665,698903.5099999998,5156279.619999999
5420,,"Red Rock Road","P6A 5K8","Dennis",46.62780923,-84.50762142,690792.9700000007,5166822.68
63,,"Palomino Drive","P6A 0B1","SSM",46.54378309,-84.41014082,698561.6500000004,5157727.08
130,,"Hood Street","P6C 6E5","SSM",46.56120309,-84.3923584,699860.9600000009,5159707.5600000005
498,,"Maki Road","P6A 5K8","SSM",46.56687294,-84.41646175,697993,5160276.74
68,,"Mount Pleasant Court","P6A 5K8","SSM",46.56633777,-84.42144305,697613.2100000009,5160204.779999999
1214,,"Wallace Terrace","P6C 5R5","SSM",46.52939556,-84.4082357,698760.2300000004,5156133.26
303,,"Allen's Side Road","P6C 5P8","SSM",46.53262721,-84.40323209,699132.1199999992,5156504.949999999
790,,"Allen's Side Road","P6A 5K8","SSM",46.55192543,-84.40321303,699062.9900000002,5158649.25
1281,,"Second Line West","P6C 2M1","SSM",46.535754,-84.41466419,698244.0999999996,5156823.58
1144,,"Wallace Terrace","P6C 1M7","SSM",46.52934653,-84.40336247,699134.1199999992,5156140.1
3,,"Sunset Drive","P6C 6G4","SSM",46.54082205,-84.41745842,698011.4100000001,5157379.68
964,,"Goulais Avenue","P6A 5K8","SSM",46.55675093,-84.38217661,700664.4100000001,5159234.5
112,,"Ransome Drive","P6C 1N6","SSM",46.53058044,-84.40955115,698655.0299999993,5156261.6
2,,"Ransome Drive","P6C 1N2","SSM",46.53074082,-84.40297883,699158.4399999995,5156295.99
30,,"Appaloosa Avenue","P6A 0B3","SSM",46.54658314,-84.40699943,698792.2599999998,5158046.109999999
864,,"Lakeshore Drive","P6A 5K8","Dennis",46.60778818,-84.54526963,687980.3900000006,5164507.58
99,,"Ransome Drive","P6C 1N5","SSM",46.53023239,-84.4082479,698756.2400000002,5156226.210000001
39,,"Foothill Road","P6C 0E5","SSM",46.56451742,-84.385156,700400.75,5160094.1
715,,"Fourth Line West","P6A 0B5","SSM",46.56566163,-84.3870908,700248.2599999998,5160216.32
